ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,inverse_hs_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
K1BF34,K1BF34,BDR,KB (BDR: K1BF34),13.5,S,2.1,C,3.0,OK,109.79,105.09,94.81,91.41,16138910.55,False,0.0,False,0.0,False,0.0,True,0.5,True,1.0,True,False,0.97,114.21,False,False,False,True,False,False,False,0.0,10.628267,4.25964,50
MSBR34,MSBR34,BDR,MS (BDR: MSBR34),13.5,S,3.6,C,3.0,OK,190.17,172.78,170.92,164.94,1093565918.52,False,0.0,False,0.0,True,0.8,False,0.0,True,1.0,True,False,1.22,194.83,False,False,False,False,True,True,False,0.0,17.225544,2.9544644,51
A2RR34,A2RR34,BDR,ARWR (BDR: A2RR34),13.5,S,3.3,C,2.0,Fraco,77.95,64.87,58.52,49.8,181415912.05,False,0.0,False,0.0,False,0.0,True,0.65,True,0.85,True,False,1.5,79.48,False,False,False,True,False,True,False,75.496,48.718746,18.842155,52
IBKR34,IBKR34,BDR,IBKR (BDR: IBKR34),13.5,S,3.3,C,3.0,OK,83.71,72.61,70.39,68.78,427042374.83,False,0.0,False,0.0,True,1.0,False,0.0,True,0.75,True,False,1.23,87.34,False,False,False,False,True,True,False,23.56,36.081898,6.676503,53
EWJV39,ISHARES MSCI JAPAN VALUE ETF,BDR,EWJV (BDR: EWJV39),13.43,S,2.0,C,1.0,Fraco,44.04,43.01,41.12,39.95,2351075.45,False,0.0,False,0.0,True,0.85,False,0.0,True,0.9,True,False,0.22,44.81,False,False,False,False,True,False,False,0.0,15.463841,999.0,54
C2GN34,C2GN34,BDR,CGNX (BDR: C2GN34),13.4,S,0.5,C,3.0,OK,65.92,52.78,45.39,44.67,525911788.91,False,0.0,False,0.0,False,0.0,True,0.8,True,0.65,False,True,3.23,63.01,False,False,False,False,False,False,True,7.606,96.94117,7.3785534,55
M2KS34,M2KS34,BDR,MKSI (BDR: M2KS34),13.4,S,1.9,C,2.0,Fraco,300.79,250.73,201.15,177.73,690732671.67,False,0.0,False,0.0,False,0.0,True,0.65,True,0.8,False,True,1.71,298.0,False,False,False,False,True,False,False,11.704001,62.79541,7.434073,56
ORVR3,ORIZON VALORIZACAO DE RESIDUOS S.A.,BR_STOCK,ORVR3,13.4,S,2.3,C,1.0,Fraco,79.99,74.17,67.4,63.62,54225219.55,False,0.0,False,0.0,False,0.0,True,0.8,True,0.65,False,False,1.22,84.9,False,False,False,False,True,False,False,6.099,103.88312,5.3319554,57
L1RC34,L1RC34,BDR,LRCX (BDR: L1RC34),13.4,S,2.0,C,4.0,Forte,286.52,239.85,200.73,177.54,2531887748.68,False,0.0,False,0.0,False,0.0,True,0.8,True,0.65,True,False,0.84,297.87,False,False,False,False,False,True,False,66.762,54.16257,33.85161,58
SBUB34,SBUB34,BDR,SBUX (BDR: SBUB34),13.4,S,2.0,C,2.0,Fraco,104.26,97.52,90.64,89.64,940814943.16,False,0.0,False,0.0,False,0.0,True,0.65,True,0.8,True,False,1.02,107.55,False,False,False,False,False,True,False,0.0,79.58779,-14.034191,59
RIOT34,RIOT34,BDR,RIO (BDR: RIOT34),13.3,S,4.9,C,4.0,Forte,103.11,94.58,82.92,77.27,286544444.57,False,0.0,False,0.0,False,0.0,True,0.5,True,0.9,True,False,1.13,105.97,False,False,False,True,True,True,False,16.399999,16.931034,2.6935034,60
INTB3,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,BR_STOCK,INTB3,13.3,S,3.3,C,4.0,Forte,15.37,14.23,12.46,12.38,85853745.36,False,0.0,False,0.0,False,0.0,True,0.5,True,0.9,True,False,2.71,15.48,False,False,False,False,True,True,False,16.176,8.732955,1.6816192,61
ROST34,ROST34,BDR,ROST (BDR: ROST34),13.3,S,2.0,C,4.0,Forte,224.48,217.62,189.73,178.69,616592673.06,False,0.0,False,0.0,False,0.0,True,0.65,False,0.0,True,False,1.55,230.44,False,False,False,False,False,True,False,36.678,33.960663,11.694103,62
Z1TO34,Z1TO34,BDR,ZTO (BDR: Z1TO34),13.3,S,3.6,C,4.0,Forte,25.32,24.41,21.93,21.21,35830230.29,False,0.0,False,0.0,False,0.0,True,0.65,True,0.75,True,False,0.9,25.97,False,False,False,True,False,True,False,14.229,15.439024,2.0798028,63
